,Name,NOC,Discipline,country,lat,lon
0,AALERUD Katrine,Norway,Cycling Road,Norway,60.5000209,9.0999715
1,ABELVIK ROED Magnus,Norway,Handball,Norway,60.5000209,9.0999715
2,BERGERUD Torbjoern,Norway,Handball,Norway,60.5000209,9.0999715
3,BJOERNSEN Kristian,Norway,Handball,Norway,60.5000209,9.0999715
4,BLUMMENFELT Kristian,Norway,Triathlon,Norway,60.5000209,9.0999715
5,BORCH Kjetil,Norway,Rowing,Norway,60.5000209,9.0999715
6,BORGLI Stine,Norway,Cycling Road,Norway,60.5000209,9.0999715
7,BRATTSET DALE Kari,Norway,Handball,Norway,60.5000209,9.0999715
8,BREDAL OFTEDAL Stine,Norway,Handball,Norway,60.5000209,9.0999715
9,BREISTOEL Kristine,Norway,Handball,Norway,60.5000209,9.0999715
10,BRUN Kristoffer,Norway,Rowing,Norway,60.5000209,9.0999715
11,CHRISTIANSEN Henrik,Norway,Swimming,Norway,60.5000209,9.0999715
12,DAFFINRUD Tonje Frydenberg,Norway,Golf,Norway,60.5000209,9.0999715
13,DUESTAD Jeanette Hegg,Norway,Shooting,Norway,60.5000209,9.0999715
14,ERICHSEN Julie,Norway,Artistic Gymnastics,Norway,60.5000209,9.0999715
15,FLEM HOEST Line,Norway,Sailing,Norway,60.5000209,9.0999715
16,FOSS Tobias S.,Norway,Cycling Road,Norway,60.5000209,9.0999715
17,FRAFJORD Marit Malm,Norway,Handball,Norway,60.5000209,9.0999715
18,FREDRIKSEN Magnus,Norway,Handball,Norway,60.5000209,9.0999715
19,FUNNEMARK Endre,Norway,Sailing,Norway,60.5000209,9.0999715
20,GRINDHEIM Andre Klippenberg,Norway,Swimming,Norway,60.5000209,9.0999715
21,GROVDAL Karoline Bjerkeli,Norway,Athletics,Norway,60.5000209,9.0999715
22,GULLERUD Magnus,Norway,Handball,Norway,60.5000209,9.0999715
23,GULLIKSEN Geir,Norway,Equestrian,Norway,60.5000209,9.0999715
24,GULLIKSEN Kevin,Norway,Handball,Norway,60.5000209,9.0999715
25,GUTTORMSEN Sondre,Norway,Athletics,Norway,60.5000209,9.0999715
26,HAEGSTAD Erik,Norway,Cycling Mountain Bike,Norway,60.5000209,9.0999715
27,HAUKENES Havard,Norway,Athletics,Norway,60.5000209,9.0999715
28,HEGG Jon-Hermann,Norway,Shooting,Norway,60.5000209,9.0999715
29,HEGGEMSNES Sofus,Norway,Artistic Gymnastics,Norway,60.5000209,9.0999715
30,HELSETH Martin,Norway,Rowing,Norway,60.5000209,9.0999715
31,HELVIG Jan Oscar Stabe,Norway,Rowing,Norway,60.5000209,9.0999715
32,HENRIKSEN Eivind,Norway,Athletics,Norway,60.5000209,9.0999715
33,HERREM Camilla,Norway,Handball,Norway,60.5000209,9.0999715
34,HOELGAARD Markus,Norway,Cycling Road,Norway,60.5000209,9.0999715
35,HOVLAND Viktor,Norway,Golf,Norway,60.5000209,9.0999715
36,HVAS Tomoe,Norway,Swimming,Norway,60.5000209,9.0999715
37,HYNNE Hedda,Norway,Athletics,Norway,60.5000209,9.0999715
38,IDEN Gustav,Norway,Triathlon,Norway,60.5000209,9.0999715
39,INGEBRIGTSEN Filip,Norway,Athletics,Norway,60.5000209,9.0999715
40,INGEBRIGTSEN Jakob,Norway,Athletics,Norway,60.5000209,9.0999715
41,IUEL Amalie,Norway,Athletics,Norway,60.5000209,9.0999715
42,JACOBSEN Marit,Norway,Handball,Norway,60.5000209,9.0999715
43,JOENDAL Magnus,Norway,Handball,Norway,60.5000209,9.0999715
44,JOHANNESSEN Tobias Halland,Norway,Cycling Road,Norway,60.5000209,9.0999715
45,JOHANSEN Vilde Ingeborg,Norway,Handball,Norway,60.5000209,9.0999715
46,KLOSTER Line,Norway,Athletics,Norway,60.5000209,9.0999715
47,KRISTIANSEN Veronica,Norway,Handball,Norway,60.5000209,9.0999715
48,LARSEN Henrik,Norway,Shooting,Norway,60.5000209,9.0999715
49,LEKNESSUND Andreas,Norway,Cycling Road,Norway,60.5000209,9.0999715
50,LOEYNING Ingeborg,Norway,Swimming,Norway,60.5000209,9.0999715
51,LUNDE Katrine,Norway,Handball,Norway,60.5000209,9.0999715
52,MARTINSEN Nicholas Fadler,Norway,Sailing,Norway,60.5000209,9.0999715
53,MILLER Lotte,Norway,Triathlon,Norway,60.5000209,9.0999715
54,MOEN Sondre Nordstad,Norway,Athletics,Norway,60.5000209,9.0999715
55,MOERK Nora,Norway,Handball,Norway,60.5000209,9.0999715
56,MOL Anders Berntsen,Norway,Beach Volleyball,Norway,60.5000209,9.0999715
57,MORTENSEN Martine Steller,Norway,Sailing,Norway,60.5000209,9.0999715
58,MYRHOL Bjarte,Norway,Handball,Norway,60.5000209,9.0999715
59,NAESS Helene,Norway,Sailing,Norway,60.5000209,9.0999715
60,NAVRESTAD Tore,Norway,Cycling BMX Racing,Norway,60.5000209,9.0999715
61,NORDAS Narve Gilje,Norway,Athletics,Norway,60.5000209,9.0999715
62,O'SULLIVAN Christian,Norway,Handball,Norway,60.5000209,9.0999715
63,OEVERBY Petter,Norway,Handball,Norway,60.5000209,9.0999715
64,ORDEMANN Richard Andre,Norway,Taekwondo,Norway,60.5000209,9.0999715
65,PEDERSEN Anders Oestre,Norway,Sailing,Norway,60.5000209,9.0999715
66,PETTERSEN Simen,Norway,Handball,Norway,60.5000209,9.0999715
67,REINKIND Harald,Norway,Handball,Norway,60.5000209,9.0999715
68,REISTAD Henny,Norway,Handball,Norway,60.5000209,9.0999715
69,RETZIUS Lene Onsrud,Norway,Athletics,Norway,60.5000209,9.0999715
70,ROE Martin,Norway,Athletics,Norway,60.5000209,9.0999715
71,ROENNINGEN Marie,Norway,Sailing,Norway,60.5000209,9.0999715
72,SAEVERAAS Kristian,Norway,Handball,Norway,60.5000209,9.0999715
73,SAGOSEN Sander,Norway,Handball,Norway,60.5000209,9.0999715
74,SKOGRAND Stine,Norway,Handball,Norway,60.5000209,9.0999715
75,SOLBAKKEN Erik Andre,Norway,Rowing,Norway,60.5000209,9.0999715
76,SOLBERG ISAKSEN Sanna,Norway,Handball,Norway,60.5000209,9.0999715
77,SOLBERG Silje,Norway,Handball,Norway,60.5000209,9.0999715
78,SORUM Christian Sandlie,Norway,Beach Volleyball,Norway,60.5000209,9.0999715
79,STENBERG Anita Yvonne,Norway,Cycling Track,Norway,60.5000209,9.0999715
80,STENE Jenny,Norway,Shooting,Norway,60.5000209,9.0999715
81,STORNES Casper,Norway,Triathlon,Norway,60.5000209,9.0999715
82,STRANDLI Are Weierholt,Norway,Rowing,Norway,60.5000209,9.0999715
83,STUNES ISENE Ola,Norway,Athletics,Norway,60.5000209,9.0999715
84,TOENNESEN Kent Robin,Norway,Handball,Norway,60.5000209,9.0999715
85,TOMAC Marta,Norway,Handball,Norway,60.5000209,9.0999715
86,TOMASGAARD Hermann,Norway,Sailing,Norway,60.5000209,9.0999715
87,TUFTE Olaf Karl,Norway,Rowing,Norway,60.5000209,9.0999715
88,TUXEN Anne,Norway,Diving,Norway,60.5000209,9.0999715
89,ULLVANG Lars Magne,Norway,Canoe Sprint,Norway,60.5000209,9.0999715
90,WARHOLM Karsten,Norway,Athletics,Norway,60.5000209,9.0999715
91,WATNDAL Erik,Norway,Shooting,Norway,60.5000209,9.0999715
92,ABAD Nestor,Spain,Artistic Gymnastics,Spain,39.3260685,-4.8379791
93,ABALDE Alberto,Spain,Basketball,Spain,39.3260685,-4.8379791
94,ABALDE Tamara,Spain,Basketball,Spain,39.3260685,-4.8379791
95,ABIAN Pablo,Spain,Badminton,Spain,39.3260685,-4.8379791
96,ABRINES REDONDO Alejandro,Spain,Basketball,Spain,39.3260685,-4.8379791
97,AGUINAGALDE AQUIZU Julen,Spain,Handball,Spain,39.3260685,-4.8379791
98,AGUIRRE Unai,Spain,Water Polo,Spain,39.3260685,-4.8379791
99,ALARZA Fernando,Spain,Triathlon,Spain,39.3260685,-4.8379791
100,ALEGRE BIOSCA David,Spain,Hockey,Spain,39.3260685,-4.8379791
101,ALONSO Alejandro,Spain,Hockey,Spain,39.3260685,-4.8379791
102,ALVAREZ AZNAR Eduardo,Spain,Equestrian,Spain,39.3260685,-4.8379791
103,ANDUJAR Pablo,Spain,Tennis,Spain,39.3260685,-4.8379791
104,ARCE Daniel,Spain,Athletics,Spain,39.3260685,-4.8379791
105,ARCOS POVEDA Paula,Spain,Handball,Spain,39.3260685,-4.8379791
106,ARENAS Julio,Spain,Athletics,Spain,39.3260685,-4.8379791
107,AREVALO ALCON Alberto,Spain,Diving,Spain,39.3260685,-4.8379791
108,AREVALO Carlos,Spain,Canoe Sprint,Spain,39.3260685,-4.8379791
109,ARNAUS Adri,Spain,Golf,Spain,39.3260685,-4.8379791
110,AZURMENDI Clara,Spain,Badminton,Spain,39.3260685,-4.8379791
111,BACH Marta,Spain,Water Polo,Spain,39.3260685,-4.8379791
112,BADOSA Paula,Spain,Tennis,Spain,39.3260685,-4.8379791
113,BALASTEGUI Manel,Spain,Rowing,Spain,39.3260685,-4.8379791
114,BAQUERIZO McMILLAN Elsa,Spain,Beach Volleyball,Spain,39.3260685,-4.8379791
115,BARCELO MARTIN Paula,Spain,Sailing,Spain,39.3260685,-4.8379791
